食品名,エネルギー,水分,たんぱく質,脂質,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
和生菓子・和半生菓子類大福もちつぶしあん入り,223,41.5,4.7,0.6,52.8,56,86,10,13,44,0.7,0.8,0.16,0.51,0,1,1,54,0,0,0.1,3,0.03,0.02,0.9,0.03,0,6,0.28,1.1,0,0,0.1
和生菓子・和半生菓子類タルト和菓子,288,30,5.9,3,60.7,38,64,27,9,66,0.9,0.5,0.07,0.19,9,7,0,13,54,1,0.4,4,0.04,0.11,1.4,0.03,0.3,14,0.39,6.7,1,0,0.1
和生菓子・和半生菓子類ちまき,150,62,1.3,0.2,36.5,1,17,1,4,18,0.2,0.2,0.04,0.15,0,1,0,15,0,0,0,0,0.02,0,0.5,0.02,0,3,0.12,0.2,0,0,0
和生菓子・和半生菓子類ちゃつう,320,22.5,6.2,4.3,66.4,5,63,120,41,79,1.9,0.9,0.23,0.5,0,1,1,33,0,0,0,4,0.08,0.05,1.8,0.05,0,8,0.1,2.1,0,0,0
和生菓子・和半生菓子類どら焼こしあん入り,282,31.5,6.6,3.1,58.4,120,61,31,12,65,1.1,0.5,0.09,0.27,6,5,1,18,39,0.7,0.3,4,0.04,0.09,1.5,0.02,0.2,11,0.33,5.4,0,0,0.3
和生菓子・和半生菓子類どら焼つぶしあん入り,292,31.5,6.6,3.2,57.9,140,120,22,15,78,1.1,0.6,0.12,0.27,7,6,1,26,40,0.7,0.4,5,0.04,0.09,1.6,0.04,0.2,15,0.41,5.6,0,0,0.4
和生菓子・和半生菓子類生八つ橋あん入りこしあん入り,274,30.5,3.6,0.3,65.4,2,35,17,12,42,0.8,0.5,0.1,0.34,0,1,0,32,0,0,0,1,0.03,0.02,0.9,0.03,0,3,0.18,0.8,0,0,0
和生菓子・和半生菓子類生八つ橋あん入りこしあん・つぶしあん混合,274,30.5,3.5,0.3,65.5,17,71,18,15,52,1,0.6,0.13,0.37,0,1,1,38,0,0,0.1,3,0.03,0.02,1.1,0.03,0,5,0.19,1.1,0,0,0
和生菓子・和半生菓子類生八つ橋あん入りつぶしあん入り,275,30.5,3.7,0.5,65.1,32,110,12,17,60,1,0.6,0.15,0.37,0,1,1,43,0,0,0.1,3,0.03,0.02,1.1,0.04,0,7,0.23,1.2,0,0,0.1
和生菓子・和半生菓子類ねりきり,259,34,5.3,0.3,60.1,2,33,39,16,46,1.5,0.6,0.13,0.39,0,0,1,33,0,0,0,4,0.01,0.03,1,0,0,1,0.04,1.3,0,0,0
和生菓子・和半生菓子類まんじゅうカステラまんじゅうこしあん入り,292,27.9,6.7,2.1,62.6,47,77,45,14,77,1.3,0.6,0.11,0.35,4,4,1,24,23,0.4,0.2,4,0.04,0.07,1.5,0.02,0.1,8,0.27,3.7,0,0,0.1
和生菓子・和半生菓子類まんじゅうカステラまんじゅうつぶしあん入り,292,27.9,6.9,2.3,62.2,83,160,33,18,96,1.2,0.6,0.15,0.35,4,4,1,35,24,0.4,0.3,5,0.05,0.07,1.6,0.04,0.1,13,0.36,4,0,0,0.2
和生菓子・和半生菓子類まんじゅうかるかんまんじゅうこしあん入り,226,42.5,3,0.3,53.8,45,65,24,13,39,1,0.5,0.1,0.3,0,1,0,25,0,0,0,2,0.02,0.02,0.9,0.02,0,2,0.13,1.1,0,0,0.1
和生菓子・和半生菓子類まんじゅうかるかんまんじゅうつぶしあん入り,226,42.5,3.1,0.4,53.6,78,140,12,16,54,1,0.5,0.15,0.3,0,1,1,35,0,0,0.1,3,0.03,0.02,0.9,0.03,0,6,0.22,1.2,0,0,0.2
和生菓子・和半生菓子類まんじゅうくずまんじゅうこしあん入り,216,45,3.1,0.2,51.4,48,22,24,10,30,0.9,0.3,0.08,0.23,0,0,1,19,0,0,0,2,0.01,0.02,0.6,0,0,1,0.02,0.8,0,0,0.1
和生菓子・和半生菓子類まんじゅうくずまんじゅうつぶしあん入り,218,45,1.3,0.1,53.4,60,75,10,11,37,0.7,0.3,0.09,0.18,0,0,1,22,0,0,0,3,0.01,0.01,0.5,0.01,0,4,0.08,0.8,0,0,0.2
和生菓子・和半生菓子類まんじゅうくりまんじゅうこしあん入り,296,24,6.5,1.4,68.1,25,62,38,14,62,1.2,0.5,0.11,0.37,3,3,1,24,17,0.3,0.2,4,0.03,0.05,1.4,0.01,0.1,6,0.22,3,0,0,0.1
