食品名,エネルギー,水分,たんぱく質,脂質,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
魚類ぐち焼き,100,74.3,23.4,0.8,0,140,330,51,34,180,0.6,0.8,0.03,0.01,0,0,0,0,7,3.3,0.7,0,0.05,0.25,7.5,0.11,2.8,9,0.45,0,0,0,0.4
魚類こい養殖生,157,71,17.7,10.2,0.2,49,340,9,22,180,0.5,1.2,0.05,0.01,0,0,0,0,4,14,2,0,0.46,0.18,6.3,0.13,10,10,1.48,0,0,0,0.1
魚類こい養殖水煮,190,66.3,19.2,13.4,0.2,47,330,13,22,180,0.6,1.8,0.06,0.01,0,0,0,0,3,12,2,0,0.37,0.17,6.4,0.11,7.5,9,1.51,0,1,0,0.1
魚類こい養殖内臓生,258,62.6,9,25.9,1.3,95,240,9,19,130,3.1,7,0.31,0.1,0,0,0,0,500,9,3.8,1,0.07,0.54,6.8,0.05,16,110,2.53,0,2,0,0.2
魚類こち類まごち生,94,75.4,22.5,0.5,0.2,110,450,51,33,260,0.2,0.6,0.02,0.01,0,0,0,0,1,1,0.1,0,0.07,0.17,8.6,0.34,1.7,4,0.38,0,1,0,0.3
魚類こち類めごち生,73,81.1,17.1,0.6,0.1,160,280,40,30,160,0.2,0.6,0.01,0.04,26,44,0,0,2,11,0,0,0.02,0.08,5.8,0.14,3,6,0.16,1.1,0,0,0.4
魚類このしろ生,146,70.6,19,8.3,0.4,160,370,190,27,230,1.3,0.7,0.16,0,35,31,1,0,0,9,2.5,0,0,0.17,5.6,0.33,10,8,1.13,7.4,0,0,0.4
魚類このしろ甘酢漬,184,61.5,19.1,10.1,6.4,890,120,160,16,170,1.8,0.9,0.06,0.09,0,0,0,0,0,7,0.5,0,0,0.17,5.7,0.15,8.1,1,0.41,0,0,0,2.3
魚類さけ・ます類からふとます生,139,70.1,21.7,6.6,0.1,64,400,13,29,260,0.4,0.6,0.07,0.01,0,0,0,0,13,22,0.7,0,0.25,0.18,12,0.49,4.6,16,1.3,0,1,0,0.2
魚類さけ・ます類からふとます焼き,175,62.1,28.1,7.7,0.1,85,520,20,41,370,0.6,0.7,0.09,0.01,0,0,0,0,15,31,0.9,0,0.24,0.27,15,0.36,7.9,19,1.6,0,1,0,0.2
魚類さけ・ます類からふとます塩ます,146,64.6,20.9,7.4,0.6,2300,310,27,34,250,0.4,0.5,0.06,0.01,0,0,0,0,19,20,0.4,0,0.21,0.17,11,0.48,2.1,10,1.07,0,1,0,5.8
魚類さけ・ます類からふとます水煮缶詰,145,69.7,20.7,7.2,0.1,360,300,110,36,320,1.5,0.9,0.1,0.08,0,0,0,0,0,7,0.7,0,0.15,0.13,9.8,0.25,3.4,15,0.66,0,0,0,0.9
魚類さけ・ます類ぎんざけ養殖生,188,66,19.6,12.8,0.3,48,350,12,25,290,0.3,0.6,0.05,0.01,9,29,1,0,36,15,1.8,0,0.15,0.14,9,0.32,5.2,9,1.37,4.5,1,0,0.1
魚類さけ・ます類ぎんざけ養殖焼き,236,56.7,25.2,15.8,0.4,61,460,16,34,320,0.4,0.8,0.07,0.01,10,37,0,0,37,21,2.7,0,0.13,0.19,12,0.31,7.5,10,1.65,6.1,1,0,0.2
魚類さけ・ます類さくらます生,146,69.8,20.9,7.7,0.1,53,390,15,28,260,0.4,0.5,0.06,0.01,0,0,0,0,63,10,2.3,0,0.11,0.14,13,0.52,7.6,21,0.97,0,1,0,0.1
魚類さけ・ます類さくらます焼き,208,57.4,28.4,12,0.1,71,520,26,38,370,0.5,0.7,0.08,0.01,0,0,0,0,55,15,3.3,0,0.12,0.23,15,0.32,9.2,26,1.28,0,1,0,0.2
魚類さけ・ます類しろさけ生,124,72.3,22.3,4.1,0.1,66,350,14,28,240,0.5,0.5,0.07,0.01,5,31,1,0,11,32,1.2,0,0.15,0.21,11,0.64,5.9,20,1.27,9,1,0,0.2
魚類さけ・ます類しろさけ水煮,142,68.5,25.5,4.7,0.1,63,340,19,29,250,0.6,0.6,0.08,0.01,6,34,2,0,13,34,1.1,0,0.15,0.23,12,0.51,5.3,21,1.21,10,0,0,0.2
魚類さけ・ます類しろさけ焼き,160,64.2,29.1,5.1,0.1,82,440,19,35,310,0.6,0.7,0.08,0.01,5,41,3,0,14,39,1.4,0,0.17,0.26,14,0.57,6,24,1.67,12,1,0,0.2
魚類さけ・ます類しろさけ新巻き生,138,67,22.8,6.1,0.1,1200,380,28,29,230,1,0.4,0.07,0.02,0,0,0,0,0,21,0.7,0,0.18,0.2,11,0.56,6,24,1.45,0,1,0,3
魚類さけ・ます類しろさけ新巻き焼き,177,59.5,29.3,7.9,0.1,830,480,44,36,300,1.7,0.6,0.08,0.03,0,0,0,0,0,25,1,0,0.22,0.24,13,0.52,6.3,40,1.8,0,1,0,2.1
魚類さけ・ます類しろさけ塩ざけ,183,63.6,22.4,11.1,0.1,720,320,16,30,270,0.3,0.4,0.05,0.01,18,43,0,0,24,23,0.4,0,0.14,0.15,12,0.58,6.9,11,0.95,11,1,0,1.8
魚類さけ・ます類しろさけイクラ,252,48.4,32.6,15.6,0.2,910,210,94,95,530,2,2.1,0.76,0.06,0,0,0,0,330,44,9.1,0,0.42,0.55,6.1,0.06,47,100,2.36,0,6,0,2.3
魚類さけ・ます類しろさけすじこ,263,45.7,30.5,17.4,0.9,1900,180,62,80,490,2.7,2.2,0.73,0.07,0,0,0,0,670,47,11,0,0.42,0.61,6,0.23,54,160,2.4,0,9,0,4.8
魚類さけ・ます類しろさけめふん,74,65.4,16.9,0.9,0.4,5800,300,35,28,220,6.8,1.5,0.13,0.03,0,0,0,0,250,20,0.4,1,0,6.38,5.5,0.07,330,60,0.91,0,0,0,14.7
魚類さけ・ます類しろさけ水煮缶詰,156,68.2,21.2,8.5,0.1,230,290,190,34,310,0.4,0.8,0.07,0.03,0,0,0,0,0,8,0.6,0,0.15,0.12,11,0.1,6,10,0.41,0,0,0,0.6
魚類さけ・ます類しろさけサケ節削り節,346,14.3,77.4,3.4,0.2,300,840,51,81,620,2,1.8,0.24,0.05,31,120,1,1,3,33,2,0,0.04,0.52,27,0.46,22,27,1.95,33,0,0,0.8
魚類さけ・ます類たいせいようさけ養殖皮つき生,218,62.1,20.1,16.5,0.1,43,370,9,27,240,0.3,0.5,0.05,0.01,5,19,0,0,14,8.3,3.8,6,0.23,0.1,11,0.45,7.2,27,1.31,6.3,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮つき水煮,236,58.6,22.5,18.4,0.1,40,330,12,27,230,0.3,0.4,0.05,0.01,5,20,0,0,15,7.5,4.9,8,0.26,0.1,11,0.5,7.3,17,1.16,5.7,1,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮つき蒸し,230,60.2,23.8,15.8,0.1,49,360,10,28,250,0.3,0.3,0.06,0.01,8,24,0,0,16,7.5,3.4,6,0.25,0.11,12,0.52,8.4,18,1.11,7.1,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮つき電子レンジ調理,223,61.2,22.9,15.4,0.1,47,380,8,29,260,0.3,0.3,0.06,0.01,7,23,0,0,18,6.1,2.9,6,0.29,0.11,12,0.61,8.9,17,1.24,6.5,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮つき焼き,270,54.6,24.5,19.7,0.3,55,460,17,34,310,0.3,0.5,0.05,0.01,8,26,0,0,17,11,4.4,8,0.24,0.13,13,0.43,5.6,28,1.69,8.8,3,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮つきソテー,266,54.6,25.2,20.4,0.1,55,450,10,33,300,0.3,0.3,0.06,0.01,8,23,0,0,22,6.9,5.8,9,0.31,0.13,14,0.51,7.9,23,1.61,7.6,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮つき天ぷら,282,52.6,21,20.1,5.1,66,410,27,26,240,0.4,0.5,0.05,0.05,5,18,0,1,6,5.6,5.7,19,0.27,0.14,12,0.45,4.2,23,1.26,6.1,2,0,0.2
魚類さけ・ます類たいせいようさけ養殖皮なし生,223,62.5,19.6,17,0.1,43,380,5,28,250,0.3,0.4,0.05,0.01,6,17,0,0,14,7.3,3.6,6,0.24,0.08,12,0.49,8,25,1.3,6.1,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮なし水煮,244,58.7,22.7,17.9,0.1,39,350,5,28,240,0.3,0.3,0.05,0.01,5,21,0,0,16,7,4.7,8,0.27,0.1,11,0.55,7.5,17,1.25,5.9,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮なし蒸し,228,60.3,23.2,15.8,0.1,49,360,13,29,250,0.3,0.3,0.06,0.01,7,24,0,0,17,7.3,3.4,6,0.25,0.1,12,0.57,9.3,18,1.09,7.7,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮なし電子レンジ調理,231,60.2,22.7,16.5,0.1,47,400,6,30,270,0.3,0.3,0.07,0.01,7,24,0,0,22,6.4,3.1,7,0.29,0.11,12,0.58,9.7,21,1.12,6.8,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮なし焼き,229,59.8,23.9,15.7,0.1,52,440,5,31,280,0.3,0.3,0.07,0.01,7,24,0,0,21,7.7,3.7,7,0.25,0.11,13,0.52,9.4,17,1.22,8.7,1,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮なしソテー,269,53.2,25.8,21,0.1,54,450,7,34,300,0.3,0.3,0.06,0.01,7,23,0,0,22,6.6,6,10,0.31,0.13,15,0.5,7.9,24,1.56,7.8,2,0,0.1
魚類さけ・ます類たいせいようさけ養殖皮なし天ぷら,266,54.8,20,18.6,5.5,62,390,27,25,230,0.3,0.4,0.05,0.05,5,17,0,1,5,5.3,5.4,19,0.27,0.13,12,0.51,3.7,18,1.15,5.7,2,0,0.2
魚類さけ・ます類にじます海面養殖皮つき生,201,63,21.4,14.2,0.1,64,390,13,28,250,0.3,0.5,0.04,0.01,4,22,0,0,57,11,5.5,0,0.17,0.1,11,0.45,5.2,12,1.78,5.4,2,0,0.2
魚類さけ・ます類にじます海面養殖皮なし生,176,67.5,20.5,10.8,0.2,50,420,8,29,250,0.3,0.4,0.04,0.01,3,21,0,0,27,7,3.8,0,0.21,0.12,11,0.59,3.8,9,1.74,5.5,3,0,0.1
魚類さけ・ます類にじます海面養殖皮つき焼き,238,55.3,27.2,15.8,0.4,68,490,22,55,350,0.3,0.6,0.05,0.01,0,0,0,0,74,12,5.9,0,0.2,0.15,12,0.3,2.8,15,2.68,0,5,0,0.2
魚類さけ・ます類にじます淡水養殖皮つき生,116,74.5,19.7,4.6,0.1,50,370,24,28,240,0.2,0.6,0.04,0.01,0,0,0,0,17,12,1.2,0,0.21,0.1,7.3,0.36,6,13,1.63,0,2,0,0.1
魚類さけ・ます類べにざけ生,127,71.4,22.5,4.5,0.1,57,380,10,31,260,0.4,0.5,0.07,0.01,0,0,0,0,27,33,1.3,0,0.26,0.15,10,0.41,9.4,13,1.23,0,0,0,0.1
魚類さけ・ます類べにざけ焼き,163,63.4,28.5,6,0.1,72,490,16,39,340,0.5,0.7,0.08,0.01,0,0,0,0,35,38,1.8,0,0.27,0.22,12,0.39,3.8,15,1.49,0,2,0,0.2
魚類さけ・ます類べにざけくん製,143,64,25.7,5.5,0.1,1500,250,19,20,240,0.8,0.5,0.07,0.01,0,0,0,0,43,28,1.2,0,0.23,0.23,13,0.52,8,10,1.5,0,0,0,3.8
魚類さけ・ます類ますのすけ生,176,66.5,19.5,12.5,0,38,380,18,28,250,0.3,0.4,0.06,0.01,0,0,0,0,160,16,3.3,0,0.13,0.12,11,0.43,3.4,12,1.38,0,1,0,0.1
魚類さけ・ます類ますのすけ焼き,238,54.9,26.4,16.7,0,48,520,30,33,330,0.4,0.6,0.05,0.01,0,0,0,0,200,17,3.8,0,0.14,0.2,13,0.36,4.1,15,1.77,0,0,0,0.1
魚類さば類まさば生,211,62.1,20.6,16.8,0.3,110,330,6,30,220,1.2,1.1,0.12,0.01,21,70,2,0,37,5.1,1.3,2,0.21,0.31,16,0.59,13,11,0.66,4.9,1,0,0.3
魚類さば類まさば水煮,253,57.4,22.6,22.6,0.3,94,280,7,29,210,1.3,1.1,0.14,0.01,23,66,6,0,31,4.3,2,0,0.25,0.3,15,0.48,19,13,0.75,8.5,0,0,0.2
魚類さば類まさば焼き,264,54.1,25.2,22.4,0.4,120,370,10,34,280,1.6,1.4,0.16,0.01,24,21,6,1,34,4.9,2.1,4,0.3,0.37,18,0.54,22,13,0.79,8.2,0,0,0.3
魚類さば類まさばフライ,316,47.2,20,25.1,6.5,130,310,14,30,210,1.3,1.1,0.13,0.08,0,0,0,0,42,3.5,3.2,19,0.2,0.3,14,0.33,11,16,0.7,0,0,0,0.3
魚類さば類ごまさば生,131,70.7,23,5.1,0.3,66,420,12,33,260,1.6,1.1,0.13,0.01,0,0,0,0,8,4.3,1.2,4,0.17,0.28,20,0.65,13,10,0.72,0,0,0,0.2
魚類さば類ごまさば水煮,139,68.8,24.8,5.2,0.2,56,350,13,31,240,1.8,1.2,0.15,0.01,0,0,0,0,8,4.9,1.1,4,0.15,0.28,18,0.51,14,12,0.76,0,0,0,0.1
魚類さば類ごまさば焼き,174,60.8,31.1,6.6,0.3,88,540,19,46,350,2.2,1.4,0.14,0.01,0,0,0,0,11,5.7,1.7,5,0.21,0.36,24,0.55,17,18,1.01,0,0,0,0.2
魚類さば類ごまさばさば節,330,14.6,73.9,5.1,0,370,1100,860,140,1200,7.2,8.4,0.43,0.05,0,0,0,0,0,12,0.9,0,0.25,0.85,29,0.68,6,30,1.55,0,0,0,0.9
魚類さば類たいせいようさば生,295,54.5,17.2,26.8,0.4,99,320,7,28,210,0.9,0.9,0.06,0.01,69,45,0,0,44,10,0.7,0,0.14,0.35,10,0.35,8.1,12,0.72,6.6,1,0,0.3
魚類さば類たいせいようさば水煮,310,51.4,18.6,28.5,0.4,96,280,9,27,210,1,1,0.07,0.01,67,45,0,0,42,6.6,0.6,0,0.19,0.34,9.1,0.28,12,13,0.72,8.2,0,0,0.2
魚類さば類たいせいようさば焼き,326,47,21.8,29.3,0.5,120,390,12,33,260,1.2,1.1,0.09,0.01,89,59,0,0,63,11,0.8,0,0.22,0.38,12,0.33,8.8,16,0.93,10,0,0,0.3
魚類さば類加工品塩さば,263,52.1,26.2,19.1,0.1,720,300,27,35,200,2,0.6,0.07,0.02,110,78,1,0,9,11,0.5,0,0.16,0.59,17,0.41,7.1,10,0.59,5.9,0,0,1.8
魚類さば類加工品開き干し,303,50.1,18.7,28.5,0.2,680,300,25,25,200,2,1,0.09,0,110,110,0,0,9,12,2.4,0,0.13,0.59,12,0.42,11,11,0.63,8.9,0,0,1.7
魚類さば類加工品しめさば,292,50.6,18.6,26.9,1.7,640,200,9,24,160,1.1,0.4,0.18,0.01,430,73,1,0,14,8,0.5,0,0.13,0.28,12,0.36,11,4,0.71,7.6,0,0,1.6
魚類さば類缶詰水煮,174,66,20.9,10.7,0.2,340,260,260,31,190,1.6,1.7,0.14,0.02,0,0,0,0,0,11,3.2,0,0.15,0.4,12,0.36,12,12,0.55,0,0,0,0.9
魚類さば類缶詰みそ煮,210,61,16.3,13.9,6.6,430,250,210,29,250,2,1.2,0.14,0.09,0,0,0,0,42,5,1.9,0,0.04,0.37,9,0.3,9.6,21,0.5,0,0,0,1.1
魚類さば類缶詰味付け,208,59.6,21.4,12.6,4,530,260,180,35,300,2,1.3,0.16,0.09,0,0,0,0,31,5,2.4,0,0.03,0.27,11,0.33,11,24,0.52,0,0,0,1.3
魚類さめ類あぶらつのざめ生,138,72.4,16.8,9.4,0,100,450,6,19,200,1,0.3,0.04,0.01,0,0,0,0,210,1,2.2,0,0.04,0.08,3,0.33,1.7,2,0.73,0,0,0,0.3
魚類さめ類よしきりざめ生,79,79.2,18.9,0.6,0,210,290,5,19,150,0.4,0.5,0.06,0,0,0,0,0,9,0,0.9,0,0.11,0.11,3.2,0.24,0.3,4,0.49,0,0,0,0.5
魚類さめ類ふかひれ,344,13,83.9,1.6,0,180,3,65,94,36,1.2,3.1,0.06,0.09,0,0,0,0,0,1,0.4,0,0,0,11,0.02,0.9,23,0.24,0,0,0,0.5
魚類さより生,88,77.9,19.6,1.3,0,190,290,41,37,190,0.3,1.9,0.03,0.02,0,0,0,0,0,3,0.9,0,0,0.12,8.8,0.33,5.5,10,0.44,0,2,0,0.5
魚類さわら生,161,68.6,20.1,9.7,0.1,65,490,13,32,220,0.8,1,0.03,0.01,0,0,0,0,12,7,0.3,0,0.09,0.35,13,0.4,5.3,8,1.16,0,0,0,0.2
魚類さわら焼き,184,63.8,23.6,10.8,0.1,90,610,22,36,310,0.9,1.1,0.05,0.01,0,0,0,0,16,12,1.1,0,0.09,0.34,16,0.29,5.3,8,1.12,0,0,0,0.2
魚類さんま皮つき生,287,55.6,18.1,25.6,0.1,140,200,28,28,180,1.4,0.8,0.12,0.02,22,32,2,1,16,16,1.7,1,0.01,0.28,11,0.54,16,15,0.74,7.4,0,0,0.4
魚類さんま皮なし生,277,57,17.8,25,0.2,120,200,15,25,160,1.3,0.6,0.13,0.01,30,25,0,0,26,11,2.6,0,0,0.32,11,0.58,15,12,0.57,8.4,1,0,0.3
魚類さんま皮つき焼き,281,53.2,23.3,22.8,0.2,130,260,37,30,220,1.7,0.9,0.15,0.03,25,45,1,1,11,13,1,0,0,0.3,14,0.42,16,17,0.93,9.4,0,0,0.3
魚類さんま開き干し,232,59.7,19.3,19,0.1,500,260,60,28,140,1.1,0.7,0.12,0.02,0,0,0,0,25,14,1.5,0,0,0.3,8,0.54,10,10,0.84,0,0,0,1.3
魚類さんまみりん干し,382,25.1,23.9,25.8,20.4,1400,370,120,50,250,2.2,1.3,0.22,0.07,0,0,0,0,31,20,0.5,0,0,0.3,7.9,0.35,11,14,1.34,0,0,0,3.6
魚類さんま缶詰味付け,259,53.9,18.9,18.9,5.6,540,160,280,37,350,1.9,1.1,0.16,0.08,0,0,0,0,25,13,2.8,0,0,0.2,7.4,0.3,12,29,0.55,0,0,0,1.4
魚類さんま缶詰かば焼,219,57,17.4,13,9.7,600,250,250,37,260,2.9,0.1,0.14,0.09,0,0,0,0,28,12,2.4,0,0,0.27,9.8,0.28,12,12,0.55,0,0,0,1.5
魚類しいら生,100,75.5,21.3,1.9,0,50,480,13,31,250,0.7,0.5,0.05,0.01,0,0,0,0,8,5,0.5,0,0.2,0.15,13,0.46,2.6,3,0.36,0,1,0,0.1
魚類ししゃも類ししゃも生干し生,152,67.6,21,8.1,0.2,490,380,330,48,430,1.6,1.8,0.1,0.11,74,35,1,1,100,0.6,0.8,1,0.02,0.25,5.5,0.07,7.5,37,1.95,18,1,0,1.2
魚類ししゃも類ししゃも生干し焼き,162,64.1,24.3,7.8,0.2,640,400,360,57,540,1.7,2.1,0.11,0.18,0,0,0,0,76,0.6,1.1,1,0.04,0.29,5.3,0.07,8.7,36,1.93,0,1,0,1.6
魚類ししゃも類からふとししゃも生干し生,160,69.3,15.6,11.6,0.5,590,200,350,55,360,1.4,2,0.06,0.04,27,41,1,1,120,0.4,1.6,0,0,0.31,4.8,0.08,8.7,21,1.2,17,1,0,1.5
魚類ししゃも類からふとししゃも生干し焼き,170,66.4,18.2,11.3,0.6,770,210,380,65,450,1.6,2.4,0.07,0.06,0,0,0,0,90,0.5,2.1,0,0.01,0.37,4.6,0.08,10,20,1.19,0,1,0,2
魚類したびらめ生,89,78,19.2,1.6,0,140,310,36,31,160,0.3,0.5,0.02,0.02,0,0,0,0,30,2,0.6,0,0.06,0.14,6.8,0.2,2.6,12,0.26,0,1,0,0.4
魚類しまあじ養殖生,153,68.9,21.9,8,0.1,53,390,16,29,250,0.7,1.1,0.04,0.01,0,0,0,0,10,18,1.6,0,0.25,0.15,12,0.52,3.2,2,0.88,0,0,0,0.1
魚類しらうお生,70,82.6,13.6,2,0.1,170,250,150,39,270,0.4,1.2,0.03,0.09,0,0,0,0,50,1,1.8,0,0.08,0.1,4.3,0.12,3.3,58,0.94,0,4,0,0.4
魚類シルバー生,138,72.4,18.6,7.9,0,85,440,11,31,220,0.6,0.5,0.06,0.01,0,0,0,0,100,3,3.1,0,0.08,0.18,11,0.5,1.8,4,0.48,0,0,0,0.2
魚類すずき生,113,74.8,19.8,4.2,0,81,370,12,29,210,0.2,0.5,0.02,0.01,0,0,0,0,180,10,1.2,0,0.02,0.2,7.5,0.27,2,8,0.93,0,3,0,0.2
魚類たい類きだい生,100,76.9,18.6,3.1,0.2,73,390,23,30,210,0.2,0.4,0.02,0.01,0,0,0,0,50,4,1.5,0,0.03,0.04,6.2,0.2,3.2,8,0.38,0,1,0,0.2
魚類たい類くろだい生,137,71.4,20.4,6.7,0.3,59,400,13,36,250,0.3,0.8,0.03,0.01,0,0,0,0,12,4,1.4,0,0.12,0.3,9.2,0.42,3.7,14,0.62,0,3,0,0.1
魚類たい類ちだい生,97,76.8,19.4,2.4,0.1,75,390,33,32,230,0.6,0.4,0.03,0.01,24,43,0,0,21,2,1.3,0,0.03,0.1,8.6,0.33,3,3,0.49,4.3,2,0,0.2
魚類たい類まだい天然生,129,72.2,20.6,5.8,0.1,55,440,11,31,220,0.2,0.4,0.02,0.01,0,0,0,0,8,5,1,0,0.09,0.05,9.8,0.31,1.2,5,0.64,0,1,0,0.1
魚類たい類まだい養殖皮つき生,160,68.5,20.9,9.4,0.1,52,450,12,32,240,0.2,0.5,0.02,0,6,36,1,0,11,7,2.4,0,0.32,0.08,9.6,0.4,1.5,4,1.34,7.7,3,0,0.1
魚類たい類まだい養殖皮つき水煮,182,65,22.2,11.9,0.1,50,440,20,29,220,0.2,0.5,0.03,0,11,44,0,1,10,4.7,3.4,0,0.16,0.07,10,0.35,2.6,3,1.23,8.2,2,0,0.1
魚類たい類まだい養殖皮つき焼き,186,63.8,22.7,12,0.1,55,500,24,32,260,0.2,0.5,0.02,0.01,8,46,0,0,17,5.6,4.6,0,0.14,0.09,11,0.32,2.6,3,1.25,9.4,3,0,0.1
魚類たい類まだい養殖皮なし生,131,71.9,21.2,5.9,0.2,43,490,7,33,260,0.2,0.4,0.02,0,9,32,0,0,10,4.5,2.6,0,0.31,0.08,12,0.56,1.8,4,1.4,9,3,0,0.1
魚類たかさご生,93,76.7,20.2,1.5,0.1,48,510,51,36,290,0.5,0.7,0.04,0.01,0,0,0,0,7,2,0.1,0,0.03,0.07,8,0.2,4.4,3,0.46,0,0,0,0.1
魚類たかべ生,148,71,18.7,9,0,120,380,41,34,210,0.6,1.3,0.04,0.01,0,0,0,0,16,4,1.4,0,0.06,0.18,7.1,0.23,2,3,0.48,0,1,0,0.3
魚類たちうお生,238,61.6,16.5,20.9,0,88,290,12,29,180,0.2,0.5,0.02,0.02,0,0,0,0,52,14,1.2,0,0.01,0.07,6.9,0.2,0.9,2,0.56,0,1,0,0.2
魚類たら類すけとうだら生,72,81.6,17.4,1,0.1,100,350,13,24,180,0.2,0.5,0.03,0,160,25,0,0,10,0.5,0.9,0,0.05,0.11,4.4,0.09,2.9,12,0.2,2.5,1,0,0.3
魚類たら類すけとうだらフライ,195,61.9,19.2,11.9,5.7,140,340,34,27,190,0.4,0.7,0.05,0.08,0,0,0,0,18,0.4,3.2,18,0.05,0.13,5,0.08,2.5,19,0.31,0,0,0,0.4
魚類たら類すけとうだらすり身,98,75.1,17.5,0.2,6.6,120,130,7,21,130,0.1,0.3,0.03,0.01,0,0,0,0,5,1,0.6,0,0.03,0.05,3.4,0.01,0.6,4,0.19,0,0,0,0.3
魚類たら類すけとうだらすきみだら,165,38.2,40.5,0.3,0.1,7400,540,130,54,340,1.9,0.1,0.09,0.02,0,0,0,0,0,1,1.1,0,0.13,0.18,9.2,0.1,2.5,7,0.43,0,0,0,18.8
魚類たら類すけとうだらたらこ生,131,65.2,24,4.7,0.4,1800,300,24,13,390,0.6,3.1,0.08,0.04,130,130,1,0,24,1.7,7.1,0,0.71,0.43,54,0.25,18,52,3.68,18,33,0,4.6
魚類たら類すけとうだらたらこ焼き,158,58.6,28.3,6.1,0.5,2100,340,27,15,470,0.7,3.8,0.1,0.05,0,0,0,0,34,1.6,8.1,0,0.77,0.53,62,0.27,23,50,3.68,0,21,0,5.3
魚類たら類すけとうだらからしめんたいこ,121,66.6,21,3.3,3,2200,180,23,11,290,0.7,2.7,0.08,0.04,0,0,0,0,41,1,6.5,1,0.34,0.33,24,0.17,11,43,2.16,0,76,0,5.6
魚類たら類まだら生,72,80.9,17.6,0.2,0.1,110,350,32,24,230,0.2,0.5,0.04,0.01,350,31,0,0,10,1,0.8,0,0.1,0.1,4.4,0.07,1.3,5,0.44,2.5,0,0,0.3
魚類たら類まだら焼き,103,72.8,25.2,0.2,0.2,140,480,48,33,280,0.4,0.9,0.05,0.02,0,0,0,0,9,0.7,1.3,0,0.09,0.12,5.6,0.09,3.9,7,0.53,0,0,0,0.4
魚類たら類まだらしらこ生,60,83.8,13.4,0.8,0.2,110,390,6,23,430,0.2,0.7,0.03,0.01,0,0,0,0,8,2,1.8,0,0.24,0.13,2.2,0.01,3.1,11,0.68,0,2,0,0.3
魚類たら類まだら塩だら,61,82.1,15.2,0.1,0,790,290,23,22,170,0.3,0.4,0.02,0.01,0,0,0,0,0,3,0.7,0,0.13,0.2,4.6,0.11,1.4,6,0.26,0,0,0,2
魚類たら類まだら干しだら,299,18.5,73.2,0.8,0.1,1500,1600,80,89,840,0.1,1.8,0.16,0.03,0,0,0,0,0,6,0.3,0,0.2,0.3,16,0.34,8.6,22,1.37,0,0,0,3.8
魚類たら類加工品でんぶ,276,26.9,25.5,1.1,41.5,1600,120,260,31,220,1.3,1,0.44,0.19,0,0,0,0,0,0.5,0.8,0,0.04,0.08,6.2,0.04,0.4,16,0.15,0,0,0,4.2
魚類たら類加工品桜でんぶ,351,5.6,10.6,0.5,80.2,930,43,300,17,180,0.4,0.6,0.03,0.03,58,14,4,0,2,0,0.1,0,0.01,0.01,2.3,0,0.6,3,0.06,0.9,0,0,2.4
魚類ちか生,82,78.3,19.5,0.6,0,250,340,35,41,240,0.3,1.3,0.08,0.03,0,0,0,0,4,1,0.9,0,0,0.14,6.2,0.19,5.4,7,0.71,0,0,0,0.6
魚類どじょう生,72,79.1,16.1,1.2,0,96,290,1100,42,690,5.6,2.9,0.08,0.38,0,0,0,0,15,4,0.6,1,0.09,1.09,6.7,0.1,8.5,16,0.66,0,1,0,0.2
魚類どじょう水煮,76,77.9,17.1,1.2,0,100,330,1200,47,750,6.4,3.1,0.06,0.43,0,0,0,0,15,5.5,0.4,1,0.08,1,7.1,0.08,6.3,11,0.43,0,0,0,0.3
魚類とびうお生,89,76.9,21,0.7,0.1,64,320,13,37,340,0.5,0.8,0.06,0.01,0,0,0,0,3,2,2.3,0,0.01,0.1,11,0.47,3.3,8,0.42,0,1,0,0.2
魚類とびうお煮干し,325,12.5,80,2.2,0.1,610,1200,1200,170,1300,2.2,3.3,0.2,0.1,42,120,1,2,9,3.9,4,1,0,0.32,32,0.24,13,22,0.62,14,0,0,1.5
魚類とびうお焼き干し,309,11.8,73.4,3.3,0.1,690,1100,3200,200,2300,2.7,5.4,0.23,0.26,62,140,4,4,17,3.3,2.4,1,0,0.32,29,0.21,15,40,0.82,14,0,0,1.8
魚類ナイルティラピア生,124,73.5,19.8,5.3,0.2,60,370,29,24,180,0.5,0.4,0.02,0.01,0,0,0,0,3,11,1.9,0,0.04,0.2,6.8,0.67,2.3,5,1.08,0,1,0,0.2
